"","group1","group2","group3","RelativePain","EnjoyLife"
"TroubleConcentrating",0.250198438352631,0,0,0,0
"TroubleRemembering",0.249029835859086,0,0,0,0
"ThinkingSlower",0.27404085845333,0,0,0,0
"TroubleLearning",0.226730867334952,0,0,0,0
"NeedRest",0,0.197709457737293,0,0,0
"LackEnergy",0,0.203227701413433,0,0,0
"FeelTired",0,0.199264807872061,0,0,0
"TroubleStarting",0,0.198473506547324,0,0,0
"TroubleFinishing",0,0.201324526429889,0,0,0
"FeelSad",0,0,0.157641771649463,0,0
"FeelUseless",0,0,0.146217652867217,0,0
"LosingHope",0,0,0.131079233650819,0,0
"TrappedByCondition",0,0,0.203528122048238,0,0
"DepressedAboutCondition",0,0,0.186200150783732,0,0
"FeelOverwhelmed",0,0,0.175333069000532,0,0
"RelativePain",0,0,0,0.4,0
"EnjoyLife",0,0,0,0,1
